=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 17:36:38 =~=~=~=~=~=~=~=~=~=~=~=
3692,115781395,49846.49,27.47,-1.122,-0.570
3694,115841395,49846.88,27.47,-1.151,-0.695
3696,115901396,49846.32,27.48,-1.164,-0.476
3698,115961395,49845.08,27.48,-1.167,-0.383
3700,116021395,49845.84,27.48,-1.184,-0.200
3702,116081395,49845.56,27.48,-1.168,-0.047
3704,116141394,49843.75,27.48,-1.151,0.039
3706,116201396,49847.68,27.48,-1.175,0.297
3708,116261394,49844.96,27.48,-1.154,0.003
3710,116321395,49844.76,27.48,-1.146,-0.053
3712,116381395,49845.46,27.48,-1.096,0.457
3714,116441395,49845.93,27.49,-1.094,0.692
3716,116501396,49844.76,27.48,-1.018,0.439
3718,116561395,49843.91,27.49,-1.009,0.680
3720,116621395,49846.43,27.49,-1.049,0.118
3722,116681395,49844.77,27.49,-1.061,-0.406
3724,116741394,49843.49,27.49,-1.033,-0.318
3726,116801396,49845.63,27.49,-1.061,0.223
3728,116861394,49845.54,27.49,-1.042,0.051
3730,116921403,49844.23,27.49,-1.043,0.028
3732,116981395,49845.07,27.50,-1.039,-0.022
3734,117041395,49844.34,27.50,-1.047,0.004
3736,117101396,49847.25,27.50,-1.101,-0.162
3738,117161395,49844.45,27.50,-1.098,-0.574
3740,117221395,49847.10,27.50,-1.117,-0.154
3742,117281395,49845.01,27.50,-1.119,-0.161
3744,117341395,49843.06,27.50,-1.033,0.026
3746,117401396,49844.52,27.50,-1.030,0.913
3748,117461394,49845.96,27.50,-1.066,0.224
3750,117521394,49844.48,27.50,-1.045,-0.273
3752,117581395,49844.82,27.50,-1.019,0.228
3754,117641395,49847.47,27.51,-1.111,0.091
3756,117701396,49845.70,27.51,-1.115,-0.927
3758,117761394,49844.39,27.50,-1.087,-0.307
3760,117821395,49845.96,27.51,-1.102,0.250
3762,117881395,49843.99,27.50,-1.056,0.089
3764,117941394,49843.91,27.51,-1.058,0.260
3766,118001396,49845.99,27.51,-1.069,0.176
3768,118061395,49844.79,27.51,-1.060,0.023
3770,118121395,49845.78,27.51,-1.073,-0.008
3772,118181395,49844.98,27.50,-1.082,-0.172
3774,118241395,49843.57,27.51,-1.032,-0.056
3776,118301396,49846.55,27.51,-1.062,0.534
3778,118361395,49844.62,27.51,-1.010,0.138
3780,118421395,49844.85,27.51,-1.046,0.154
3782,118481395,49845.53,27.51,-1.069,-0.374
3784,118541395,49845.45,27.51,-1.037,-0.043
3786,118601396,49844.91,27.51,-1.055,0.153
3788,118661395,49846.58,27.51,-1.082,-0.197
3790,118721394,49845.29,27.51,-1.076,-0.240
3792,118781395,49847.06,27.51,-1.132,-0.243
3794,118841395,49846.34,27.51,-1.135,-0.518
3796,118901396,49844.32,27.51,-1.062,0.049
3798,118961395,49844.54,27.51,-1.066,0.589
3800,119021395,49847.69,27.51,-1.108,0.141
3802,119081395,49845.45,27.51,-1.102,-0.341
3804,119141395,49846.05,27.51,-1.113,-0.214
3806,119201396,49846.39,27.51,-1.163,-0.299
3808,119261394,49846.51,27.51,-1.161,-0.505
3810,119321394,49845.21,27.51,-1.139,-0.030
3812,119381395,49844.65,27.51,-1.080,0.390
3814,119441394,49846.58,27.51,-1.094,0.743
3816,119501396,49844.16,27.51,-1.067,0.012
3818,119561395,49845.14,27.51,-1.059,0.175
3820,119621395,49845.01,27.51,-1.075,0.108
3822,119681395,49844.81,27.51,-1.047,-0.039
3824,119741394,49845.73,27.51,-1.060,0.298
3826,119801396,49845.40,27.51,-1.038,0.079
3828,119861395,49846.60,27.51,-1.095,-0.009
3830,119921403,49846.90,27.51,-1.131,-0.660
3832,119981395,49844.88,27.51,-1.121,-0.584
3834,120041395,49845.77,27.51,-1.133,-0.125
3836,120101396,49845.79,27.51,-1.158,-0.171
3838,120161394,49844.79,27.51,-1.150,-0.345
3840,120221395,49843.31,27.51,-1.088,0.165
3842,120281395,49846.70,27.51,-1.161,0.471
3844,120341395,49845.14,27.51,-1.169,-0.595
3846,120401396,49846.48,27.50,-1.173,-0.218
3848,120461395,49846.81,27.50,-1.187,0.046
3850,120521395,49845.19,27.50,-1.119,0.107
3852,120581395,49845.52,27.50,-1.109,0.662
3854,120641395,49845.19,27.50,-1.109,0.180
3856,120701396,49845.70,27.50,-1.129,-0.089
3858,120761394,49844.52,27.50,-1.081,-0.016
3860,120821395,49845.92,27.49,-1.065,0.627
3862,120881395,49844.94,27.49,-1.058,0.316
3864,120941394,49845.47,27.49,-1.044,0.131
3866,121001395,49843.96,27.49,-1.043,0.060
3868,121061394,49846.08,27.48,-1.083,-0.153
3870,121121395,49845.56,27.48,-1.102,-0.381
3872,121181395,49845.20,27.48,-1.110,-0.387
3874,121241395,49845.60,27.48,-1.084,0.050
3876,121301396,49843.31,27.48,-1.050,0.272
3878,121361394,49845.43,27.48,-1.049,0.389
3880,121421395,49847.23,27.48,-1.089,0.237
3882,121481395,49845.89,27.47,-1.121,-0.579
3884,121541394,49845.27,27.48,-1.107,-0.524
3886,121601396,49846.04,27.47,-1.102,0.164
3888,121661394,49846.05,27.48,-1.106,0.135
3890,121721394,49844.23,27.48,-1.094,-0.158
3892,121781395,49845.98,27.48,-1.105,0.053
