=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 18:05:49 =~=~=~=~=~=~=~=~=~=~=~=
seq,timestamp_us,pressure_pa,temperature_c,altitude_m,raw_altitude_m,climb_rate_mps
1175,44484397,99713.09,27.85,-0.786,-0.806,-0.161
1177,44544450,99714.31,27.85,-0.800,-0.910,-0.101
1179,44604397,99712.49,27.85,-0.820,-0.756,-0.294
1181,44664397,99715.02,27.86,-0.835,-0.970,-0.283
1183,44724417,99710.52,27.85,-0.810,-0.589,-0.148
1185,44784397,99713.69,27.86,-0.848,-0.857,-0.035
1187,44844422,99714.43,27.86,-0.842,-0.920,-0.143
1189,44904397,99713.30,27.86,-0.843,-0.825,0.002
1191,44964396,99715.12,27.86,-0.861,-0.979,-0.080
1193,45024427,99712.97,27.86,-0.838,-0.796,-0.084
1195,45084397,99714.75,27.86,-0.856,-0.947,0.115
1197,45144475,99711.72,27.86,-0.847,-0.691,-0.194
1199,45204397,99713.74,27.86,-0.848,-0.862,0.018
1201,45264396,99711.77,27.86,-0.839,-0.695,0.059
1203,45324416,99711.28,27.86,-0.764,-0.654,0.410
1205,45384397,99715.27,27.86,-0.797,-0.991,0.830
1207,45444422,99712.63,27.86,-0.788,-0.768,-0.161
1209,45504397,99713.46,27.86,-0.850,-0.838,-0.396
1211,45564396,99712.09,27.86,-0.832,-0.722,-0.596
1213,45624416,99715.91,27.86,-0.869,-1.046,0.046
1215,45684397,99712.61,27.86,-0.849,-0.766,-0.251
1217,45744450,99712.50,27.86,-0.857,-0.757,-0.045
1219,45804408,99713.19,27.86,-0.847,-0.815,0.027
1221,45864396,99714.24,27.86,-0.869,-0.904,0.070
1223,45924416,99713.91,27.86,-0.875,-0.875,-0.236
1225,45984397,99714.78,27.86,-0.866,-0.950,-0.009
